Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Period,12GradAge,gyear,GradAge,AverageScore,Acadperf
180000,2014-08-01,2015-04-01,electrical project engineer,Bengaluru,m,1986,70.0,state,2006,43.42,state,2,B.Tech/B.E.,EC,55.52,Karnataka,1970-01-01 00:00:00.000002014,370,360,270,0.649389714846691,0,356,0,0,0,0,0,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,1,20,1970,16,333.3333333333333,131.92666666666668
335000,2014-06-01,2015-06-01,programmer analyst,Hyderabad,m,1993,88.0,state,2010,90.0,state,2,B.Tech/B.E.,CS,76.0,Telangana,1970-01-01 00:00:00.000002014,625,555,630,0.356536487724475,475,0,346,0,0,0,0,0.4155,0.8027,0.1357,-0.995,-0.6692,1,17,1970,23,603.3333333333334,203.33333333333334
435000,2012-09-01,2022-09-23,systems analyst,Gurgaon,f,1991,86.8,cbse,2008,82.8,cbse,2,B.Tech/B.E.,CS,78.0,Haryana,1970-01-01 00:00:00.000002012,575,585,575,0.744758354008939,565,0,438,0,0,0,0,0.0464,1.2028,-0.9245,0.5323,-0.2875,10,17,1970,21,578.3333333333334,195.6
345000,2011-01-01,2013-10-01,senior software engineer,Bengaluru,m,1988,90.88,state,2006,82.5,state,2,B.Tech/B.E.,CS,66.15,Orissa,1970-01-01 00:00:00.000002010,415,335,405,0.884122511593735,535,333,0,313,0,0,320,0.8192,0.1888,-1.7954,1.8249,1.1343,2,18,1970,18,385.0,195.43
300000,2014-09-01,2015-01-01,ase,Bengaluru,m,1993,76.8,state,2009,83.0,state,2,B.Tech/B.E.,EC,76.44,Uttar Pradesh,1970-01-01 00:00:00.000002014,535,510,605,0.881620069530177,0,420,0,0,0,0,0,0.99,1.3779,0.7785,-0.2344,-0.6692,1,16,1970,23,550.0,185.28
145000,2015-02-01,2015-04-01,telecommunication engineer,Noida,m,1994,84.0,cbse,2011,68.0,cbse,2,B.Tech/B.E.,EC,72.0,Uttar Pradesh,1970-01-01 00:00:00.000002015,580,570,385,0.207392169717661,335,260,0,0,0,313,0,0.1282,0.7119,1.3933,-0.3612,-0.0943,0,17,1970,24,511.6666666666667,176.0
220000,2014-11-01,2014-04-01,java software engineer,Gurgaon,m,1992,64.0,cbse,2010,74.0,cbse,2,B.Tech/B.E.,CS,68.0,Haryana,1970-01-01 00:00:00.000002014,485,375,435,0.486747008438193,345,0,376,0,0,0,0,-3.1994,-1.8393,0.0552,0.0623,-0.7615,0,18,1970,22,431.6666666666667,160.66666666666666
530000,2011-12-01,2022-09-23,systems engineer,Hyderabad,m,1989,84.0,state,2007,92.0,state,2,B.Tech/B.E.,CS,77.2,Andhra Pradesh,1970-01-01 00:00:00.000002011,475,405,695,0.670743151433127,455,0,0,0,0,0,0,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,11,18,1970,19,525.0,201.73333333333335
340000,2014-08-01,2015-04-01,software engineer,Bengaluru,m,1992,77.2,state,2010,86.1,state,2,B.Tech/B.E.,CS,71.0,Tamil Nadu,1970-01-01 00:00:00.000002014,560,485,450,0.622642915849938,485,0,407,0,0,0,0,-0.0154,1.2114,1.0859,-1.5021,0.2889,1,18,1970,22,498.3333333333333,186.96666666666667
360000,2013-10-01,2022-09-23,application developer,Noida,f,1991,87.0,cbse,2009,84.4,cbse,1,B.Tech/B.E.,CS,79.3,Delhi,1970-01-01 00:00:00.000002013,570,475,295,0.413838255788123,385,0,0,0,0,0,0,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,9,18,1970,21,446.6666666666667,197.83333333333334
145000,2014-10-01,2022-09-23,ios developer,Kolkata,m,1992,73.0,state,2010,68.4,state,2,B.Tech/B.E.,CS,74.3,West Bengal,1970-01-01 00:00:00.000002014,560,530,605,0.911395278391328,445,0,500,0,0,0,0,-0.7335,0.5454,-0.7585,-0.6147,1.4386,8,18,1970,22,565.0,166.16666666666669
215000,2015-01-01,2022-09-23,executive assistant,Bengaluru,f,1989,71.0,cbse,2009,68.0,icse,2,B.Tech/B.E.,CS,70.86,Uttar Pradesh,1970-01-01 00:00:00.000002013,430,510,405,0.356536487724475,465,0,346,0,0,0,0,1.5644,1.0449,0.3174,-1.8824,1.0554,7,20,1970,19,448.3333333333333,162.62
350000,2014-03-01,2022-09-23,online marketing manager,mohali,f,1990,85.0,cbse,2008,61.0,cbse,2,B.Tech/B.E.,EC,64.98,Punjab,1970-01-01 00:00:00.000002011,570,475,430,-1.0,0,0,0,0,0,0,0,-0.4854,-0.5213,2.1129,-0.735,1.8224,8,18,1970,20,491.6666666666667,167.66
270000,2013-03-01,2022-09-23,software engineer,Hyderabad,f,1992,91.5,state,2009,93.8,state,1,B.Tech/B.E.,CS,74.1,Telangana,1970-01-01 00:00:00.000002013,380,535,530,0.525922584252055,415,0,0,0,0,0,0,-1.0208,0.2124,0.4711,0.2727,-0.0943,9,17,1970,22,481.6666666666667,210.0
80000,2010-10-01,2015-04-01,documentation specialist,Gurgaon,m,1993,77.0,cbse,2010,85.4,cbse,2,B.Tech/B.E.,EC,63.9,Punjab,1970-01-01 00:00:00.000002014,475,605,415,0.649389714846691,435,356,0,0,0,0,0,0.2718,0.5454,0.3174,-1.8824,-0.4776,5,17,1970,23,498.3333333333333,183.70000000000002
330000,2014-01-01,2022-09-23,associate software engineer,Bengaluru,m,1991,52.33,state,2007,67.0,state,2,MCA,CS,77.15,Uttar Pradesh,1970-01-01 00:00:00.000002013,450,525,545,0.735795709224656,475,0,0,0,0,0,0,-0.0154,1.2114,0.6248,0.7798,0.8637,8,16,1970,21,506.6666666666667,145.04666666666668
200000,2013-01-01,2013-06-01,management trainee,Bengaluru,m,1991,88.0,state,2008,89.66,state,2,B.Tech/B.E.,EC,76.4,Kerala,1970-01-01 00:00:00.000002012,510,640,635,0.124502074009537,0,233,0,0,0,0,0,0.3941,1.2808,0.2366,-2.1998,-0.4455,0,17,1970,21,595.0,203.12666666666667
120000,2011-06-01,2012-03-01,site manager,Jhansi,m,1989,66.6,cbse,2007,68.6,state,2,B.Tech/B.E.,ME,60.22,Uttar Pradesh,1970-01-01 00:00:00.000002011,425,595,475,0.130441735719574,0,0,0,286,0,0,0,-0.4173,0.3448,0.0914,-0.4078,0.6603,1,18,1970,19,498.3333333333333,155.2733333333333
145000,2014-07-01,2014-09-01,software developer,Delhi,m,1992,75.0,cbse,2009,60.0,cbse,2,B.Tech/B.E.,CS,66.0,Uttar Pradesh,1970-01-01 00:00:00.000002014,380,545,460,0.356536487724475,395,0,346,0,0,0,0,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,0,17,1970,22,461.6666666666667,157.0
350000,2014-08-01,2022-09-23,associate software engineer,Bengaluru,m,1991,91.4,icse,2010,73.0,cbse,1,B.Tech/B.E.,CS,71.0,Uttar Pradesh,1970-01-01 00:00:00.000002014,555,560,825,0.23780283983757,525,0,315,0,0,0,0,-0.0154,0.2578,-0.5349,-1.1218,-1.359,8,19,1970,21,646.6666666666666,188.06666666666666
120000,2014-04-01,2015-04-01,.net developer,Hyderabad,m,1993,59.0,state,2010,87.7,state,2,B.Tech/B.E.,EC,71.04,Telangana,1970-01-01 00:00:00.000002014,300,340,355,0.112139438207403,155,228,0,0,0,0,0,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,1,17,1970,23,331.6666666666667,170.38
380000,2012-05-01,2015-04-01,programmer analyst,Bengaluru,f,1989,84.5,cbse,2007,82.5,cbse,2,B.Tech/B.E.,CS,92.1,Karnataka,1970-01-01 00:00:00.000002011,425,525,515,0.377551419424541,375,0,0,0,0,0,0,0.51,0.6568,-0.6343,0.2973,0.1864,3,18,1970,19,488.3333333333333,197.7
110000,2014-09-01,2015-01-01,production engineer,Chennai,m,1992,95.8,state,2010,87.16,state,2,B.Tech/B.E.,ME,79.0,Tamil Nadu,1970-01-01 00:00:00.000002014,430,395,500,0.0669607065028304,0,0,0,253,0,0,0,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,1,18,1970,22,441.6666666666667,209.29333333333332
205000,2013-07-01,2015-04-01,jr. software engineer,noida,f,1991,85.6,cbse,2008,82.0,cbse,2,B.Tech/B.E.,CS,74.01,Haryana,1970-01-01 00:00:00.000002012,370,495,455,0.0800552813405495,445,0,253,0,0,0,0,0.1282,0.5454,0.1637,-0.4879,0.8637,2,17,1970,21,440.0,192.26999999999998
95000,2012-10-01,2013-10-01,software developer,delhi,m,1992,69.6,state,2008,71.4,state,2,B.Tech/B.E.,CS,77.0,Orissa,1970-01-01 00:00:00.000002012,485,415,575,0.925645767094482,0,0,0,0,0,0,0,-0.4173,0.6568,-0.7794,1.7074,0.1864,1,16,1970,22,491.6666666666667,166.66666666666666
390000,2013-09-01,2022-09-23,software engineer,Bengaluru,m,1991,86.6,cbse,2009,75.0,cbse,2,B.Tech/B.E.,CS,74.0,Madhya Pradesh,1970-01-01 00:00:00.000002013,505,545,565,0.356536487724475,475,0,346,0,0,0,0,-2.5039,0.0328,0.3817,0.26793,0.5024,9,18,1970,21,538.3333333333334,186.26666666666665
270000,2012-05-01,2014-07-01,qa analyst,Bengaluru,m,1989,81.92,state,2007,61.46,state,2,B.Tech/B.E.,CS,57.54,Karnataka,1970-01-01 00:00:00.000002011,565,465,415,0.843123726665742,515,0,0,0,0,0,0,1.2828,1.7488,1.8331,-2.2879,1.1343,2,18,1970,19,481.6666666666667,162.56
60000,2011-06-01,2013-02-01,trainee software developer,Bhubaneswar,f,1988,66.5,cbse,2005,49.5,state,2,MCA,CS,89.7,Orissa,1970-01-01 00:00:00.000002011,505,505,485,0.916869961103619,555,0,0,0,0,0,0,-1.0355,0.0328,-2.2308,1.0024,0.3444,2,17,1970,18,498.3333333333333,145.9
120000,2015-02-01,2022-09-23,ui developer,Hyderabad,m,1991,80.0,state,2009,72.5,state,2,B.Tech/B.E.,CS,57.8,Andhra Pradesh,1970-01-01 00:00:00.000002013,580,485,455,0.783303536670298,405,388,0,0,0,0,0,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,7,18,1970,21,506.6666666666667,171.76666666666665
400000,2015-04-01,2022-09-23,software engineer,Navi Mumbai,m,1992,85.2,icse,2010,81.5,icse,2,B.Tech/B.E.,CS,57.64,Uttar Pradesh,1970-01-01 00:00:00.000002014,545,385,485,0.600057182338341,435,0,0,0,0,0,0,1.1336,0.3789,1.0859,0.653,0.2889,7,18,1970,22,471.6666666666667,185.91333333333333
350000,2014-09-01,2022-09-23,assistant system engineer,Mumbai,m,1991,89.25,state,2010,78.0,state,2,B.Tech/B.E.,EL,80.0,West Bengal,1970-01-01 00:00:00.000002014,570,510,545,0.79293627759454,0,0,0,0,484,0,0,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,8,19,1970,21,541.6666666666666,193.91666666666666
120000,2014-11-01,2022-09-23,android developer,New Delhi,f,1992,58.4,cbse,2008,64.8,cbse,2,MCA,CS,80.0,Haryana,1970-01-01 00:00:00.000002014,440,415,554,0.793580614548506,495,0,0,0,0,0,0,0.335,0.0924,-0.6582,-0.4821,-0.1543,8,16,1970,22,469.6666666666667,149.86666666666665
250000,2014-08-01,2022-09-23,software engineer,Mangalore,m,1992,90.8,state,2010,90.1,state,2,B.Tech/B.E.,CS,67.7,Karnataka,1970-01-01 00:00:00.000002014,525,530,595,0.486747008438193,485,0,376,0,0,0,0,-0.3027,0.7119,-0.2974,1.1601,-0.4776,8,18,1970,22,550.0,203.46666666666664
240000,2013-03-01,2022-09-23,customer service,Rewari,f,1989,78.0,cbse,2006,70.1,cbse,2,B.Tech/B.E.,EC,68.2,Haryana,1970-01-01 00:00:00.000002011,415,595,495,0.694479327708463,0,366,0,0,0,0,0,0.8192,-0.0842,-0.598,-0.6428,-0.6035,9,17,1970,19,501.6666666666667,170.83333333333331
525000,2012-03-01,2022-09-23,test engineer,Hyderabad,f,1989,89.88,cbse,2007,95.4,cbse,2,B.Tech/B.E.,EC,80.8,Telangana,1970-01-01 00:00:00.000002011,555,475,635,0.694479327708463,0,366,0,0,0,420,0,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,10,18,1970,19,555.0,212.21333333333334
200000,2013-06-01,2014-01-01,project engineer,Gaziabaad,m,1990,63.3,state,2008,61.1,state,2,B.Tech/B.E.,EC,66.9,Uttar Pradesh,1970-01-01 00:00:00.000002013,420,510,665,0.112139438207403,0,228,0,0,0,0,0,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,1,18,1970,20,531.6666666666666,146.70000000000002
120000,2009-09-01,2013-04-01,software engineer,Bengaluru,m,1977,72.0,cbse,1995,49.0,state,2,B.Tech/B.E.,CS,55.0,Karnataka,1970-01-01 00:00:00.000002011,640,460,250,0.525922584252055,415,300,0,366,0,0,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,4,18,1970,7,450.0,139.33333333333334
305000,2013-11-01,2022-09-23,software engineer,Chennai,f,1991,83.0,state,2009,79.0,state,2,B.Tech/B.E.,CS,70.0,Telangana,1970-01-01 00:00:00.000002013,430,410,310,0.165633091512476,305,0,0,0,0,0,0,-0.159,-0.1206,0.1637,1.5404,-0.0943,9,18,1970,21,383.3333333333333,185.33333333333334
300000,2014-10-01,2015-04-01,java developer,Chennai,m,1993,85.3,state,2010,88.3,state,2,B.Tech/B.E.,CS,85.0,Tamil Nadu,1970-01-01 00:00:00.000002014,370,375,325,0.356536487724475,315,0,346,0,0,0,0,1.8517,1.5444,0.3174,0.3995,0.6721,1,17,1970,23,356.6666666666667,201.93333333333334
145000,2014-06-01,2022-09-23,engineer,Noida,f,1991,81.0,cbse,2009,77.8,cbse,2,B.Tech/B.E.,EC,65.35,Uttar Pradesh,1970-01-01 00:00:00.000002014,535,510,390,0.207392169717661,0,260,0,0,0,260,0,-1.1644,-0.9531,0.01,-0.7415,-0.8608,8,18,1970,21,478.3333333333333,180.58333333333334
150000,2014-10-01,2015-04-01,management trainee,Bhiwadi,m,1992,60.66,state,2008,62.4,state,2,B.Tech/B.E.,ME,69.3,Uttar Pradesh,1970-01-01 00:00:00.000002013,370,410,470,0.755375120895548,315,0,0,446,0,0,0,-2.2351,-2.6847,-2.6028,0.3995,-5.477,1,16,1970,22,416.6666666666667,146.16
600000,2010-07-01,2012-07-01,java software engineer,Gurgaon,m,1986,78.0,cbse,2004,83.0,cbse,1,B.Tech/B.E.,CS,72.13,Delhi,1970-01-01 00:00:00.000002010,444,555,695,0.999904558268382,804,0,0,0,0,0,0,0.6646,0.3448,0.8171,0.6498,0.0284,2,18,1970,16,564.6666666666666,185.04333333333332
310000,2014-02-01,2014-05-01,system engineer,Mysore,m,1990,89.37,state,2009,79.0,state,2,B.Tech/B.E.,EC,70.0,West Bengal,1970-01-01 00:00:00.000002013,630,580,510,0.338786347219528,0,292,0,0,0,0,0,0.99,1.2114,-0.2974,-1.1218,1.247,0,19,1970,20,573.3333333333334,191.70333333333335
455000,2011-01-01,2013-09-01,system engineer,Bengaluru,m,1989,90.0,state,2006,94.4,state,2,B.Tech/B.E.,EC,76.12,Andhra Pradesh,1970-01-01 00:00:00.000002010,505,525,595,0.124502074009537,615,233,0,0,0,0,0,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,2,17,1970,19,541.6666666666666,209.77333333333334
400000,2014-08-01,2015-02-01,test engineer,Bengaluru,f,1991,81.0,icse,2010,79.0,icse,2,B.Tech/B.E.,EC,71.5,Uttar Pradesh,1970-01-01 00:00:00.000002014,510,500,575,0.493596387301038,455,324,0,0,0,0,0,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,1,19,1970,21,528.3333333333334,183.83333333333334
150000,2010-07-01,2012-01-01,recruitment coordinator,Chennai,f,1989,78.0,state,2006,86.67,state,2,B.Tech/B.E.,EC,77.55,Tamil Nadu,1970-01-01 00:00:00.000002010,535,465,535,0.910770164246022,445,433,0,0,0,0,0,-0.880999999999999,1.4368,0.3817,-0.4078,-0.1295,2,17,1970,19,511.6666666666667,190.52
250000,2015-06-01,2022-09-23,software developer,Mangalore,m,1993,84.4,cbse,2011,73.2,cbse,2,B.Tech/B.E.,CS,70.0,Punjab,1970-01-01 00:00:00.000002015,570,410,535,0.670743151433127,455,0,0,0,0,0,0,-0.0154,0.8784,0.01,-0.7415,-0.2859,7,18,1970,23,505.0,180.93333333333337
320000,2014-03-01,2022-09-23,system engineer,Chennai,m,1992,89.0,state,2009,92.0,state,2,B.Tech/B.E.,EL,76.4,Telangana,1970-01-01 00:00:00.000002013,625,645,605,0.982057124317279,385,388,0,0,606,0,0,-1.4517,-1.4526,-1.2196,1.794,-2.3937,8,17,1970,22,625.0,206.46666666666667
250000,2014-05-01,2022-09-23,java software engineer,Rajkot,m,1990,86.0,state,2008,64.0,state,2,B.Tech/B.E.,CS,61.17,Gujarat,1970-01-01 00:00:00.000002013,665,545,415,0.911395278391328,405,0,500,0,0,0,0,1.1336,1.3779,2.1617,-0.995,1.0554,8,18,1970,20,541.6666666666666,170.39
200000,2014-06-01,2015-01-01,technical support engineer,Bengaluru,m,1992,85.0,icse,2010,75.0,cbse,2,B.Tech/B.E.,CS,60.0,Karnataka,1970-01-01 00:00:00.000002014,675,480,500,0.842248322257836,425,0,469,0,0,0,0,1.1336,1.0449,0.1637,-1.2486,0.0973,1,18,1970,22,551.6666666666666,180.0
240000,2014-06-01,2015-04-01,android developer,Greater Noida,m,1992,75.0,cbse,2009,64.0,cbse,2,B.Tech/B.E.,CS,67.0,Uttar Pradesh,1970-01-01 00:00:00.000002014,510,480,485,-1.0,0,0,0,0,0,0,0,-0.159,0.8784,1.2396,0.2727,-0.6692,1,17,1970,22,491.6666666666667,161.33333333333334
120000,2015-04-01,2015-08-01,data analyst,Indore,f,1991,86.0,state,2009,77.0,state,2,B.Tech/B.E.,CS,75.0,Madhya Pradesh,1970-01-01 00:00:00.000002013,325,510,295,0.0185409416754305,415,0,192,0,0,0,0,0.1282,0.0459,0.1637,0.0192,-0.0943,0,18,1970,21,376.6666666666667,188.0
300000,2014-09-01,2022-09-23,programmer analyst,Bengaluru,m,1992,70.6,cbse,2010,78.67,state,2,B.Tech/B.E.,EC,75.84,Karnataka,1970-01-01 00:00:00.000002014,580,485,510,0.0531603052826837,285,196,0,0,0,0,0,0.5591,0.2124,-1.2196,-0.7415,-0.8608,8,18,1970,22,525.0,174.54999999999998
800000,2012-06-01,2022-09-23,software engineer,Bengaluru,m,1991,93.44,state,2008,90.0,state,2,B.Tech/B.E.,CS,87.6,Karnataka,1970-01-01 00:00:00.000002012,515,475,635,0.942116551485008,575,0,0,0,0,0,0,-0.4173,0.9688,-0.1988,-0.2902,0.3049,10,17,1970,21,541.6666666666666,212.64
120000,2014-07-01,2022-09-23,test engineer,Bengaluru,m,1992,76.0,state,2009,72.0,state,2,B.Tech/B.E.,CS,63.2,Tamil Nadu,1970-01-01 00:00:00.000002013,510,355,340,0.123016731640823,285,0,0,0,0,0,0,-0.159,-0.2871,0.4711,0.2727,-0.4776,8,17,1970,22,401.6666666666667,169.06666666666666
